IDS,root,Reply,meta reply
22,,, @Merielialetheia Las gifras son claras o pidels por transparencia!!
22,, @jaimecruzat6 EL CALDO DE CULTIVO DE LA ANARQUIA SOCIALISTA ES LA CORRUPCION DENTRO DE LA DEMOCRACIA DECAYENTE SITUACION YA VIVIDA EN VENEZUELA Y VEAN QUE SUCEDIO NO LE ENTREGUEN A LOS HUMILDES AL COMUNISMO MENTIROSO Y FALAZ,
22,, @charles_gino No esperaba nada de <COREF CAD=3 IDE=1>ese gobierno</COREF> y aún así continúa decepcionandome.,
22,, @pedrourdebienes Le corresponde a <COREF CAD=1 IDE=1>el</COREF> dar esta informacion???? No es primera vez q se sale de libreto.,
22,, @pablotsv Parece titular #LUN,
22,, @cbobadil Las denuncias deben ser responsables y no al estilo farándula.,
22,,, @Merielialetheia Donde esta lo d ela farandula??
22,, @Julio_M_UE Y en que AFP cotiza <COREF CAD=1 IDE=1>Ud.</COREF>?,
22,, @AliCarrenoG Yiaaaaaa????. el carerrajismo mismo!!!!,
22,," @Ricardo11481753 Lo más increible es que ya andan hablando de la letra chica de los proyectos del <COREF CAD=1 IDE=1>nuevo gobierno</COREF> y <COREF CAD=1 IDE=2>ellos</COREF> se han reído hasta el último día, debe ser quizás el gran ""legado"" del<COREF CAD=3 IDE=3> gobierno comunista</COREF> de <COREF CAD=3 IDE=4>@mbachelet</COREF> <COREF CAD=4 IDE=5>mentir</COREF> al <COREF CAD=5 IDE=6>pueblo </COREF> ya que ""miente miente que algo queda""",
22,, @KunkunaConK jajajaja.,
22,,, @Merielialetheia La risa abunda en la doca de los ....
22,,, @KunkunaConK chuta las frases de la abuelita.
22,,," @Merielialetheia Son refranes, que falta de conocimiento el suyo!!"
22,,," @KunkunaConK ah ok. Ojalá tenga un término de día interesante. Hay tanto por hacer...reventarse una espinilla, sacarse un punto negro..."
23, @Emol <COREF CAD=1 IDE=1>PDI</COREF> llega a <COREF CAD=2 IDE=2>las oficinas</COREF> de la <COREF CAD=3 IDE=3>aerolínea Law</COREF> ante <COREF CAD=4 IDE=4>eventual</COREF>  <COREF CAD=5 IDE=5>delito</COREF> de <COREF CAD=6 IDE=6>estafa</COREF>,,
23,," @bigbosscoaching Mmmmm, sospechosa la decisión",
23,," @CATITA372010 Yaaa, está es <COREF CAD=1 IDE=1> la agencia</COREF> que acusa de <COREF CAD=6 IDE=2>estafa</COREF> a <COREF CAD=3 IDE=3>law</COREF>, se les acabo el <COREF CAD=6 IDE=4>negócio redondo</COREF> jajaja hotel gratis",
23,," @just_loub Listado de accionistas. Traficaron medio millón de miseria que son una carga socioeconómica y tienen colapsados todos los sistemas públicos, salud, salacunas, jardines, no pagan transantiago por órdenes de arriba y antes del cambio de mando desaparecen del aire. Sospechoso no?",
23,, @iamanavigator Interesante sería ver el listado de <COREF CAD=3 IDE=1>sus</COREF> accionistas y ver por qué bajo Bachelet nunca fue investigada.,
23,, @JaimeM52547420 Pidan el balance y revisen el real aporte de capital y el listado real de <COREF CAD=3 IDE=1>sus</COREF> activos.,
24," @Emol <COREF CAD=1 IDE=1>Gutiérrez</COREF> en Constitución: <COREF CAD=2 IDE=2>Chile Vamos</COREF> teme que ""no esté a la altura"" y <COREF CAD=1 IDE=1>diputado</COREF> dice que dará ""garantías a la minoría"" http://bit.ly/2tQL6nY ",,
24,," @alfreyanez <COREF CAD=1 IDE=1>El</COREF>, <COREF CAD=1 IDE=1>quien</COREF> de manera retórica se refirió a los que votaron por Piñera como idiotas, va a dar garantías a las minorías? <COREF CAD=1 IDE=3>El</COREF>, que representa a un <COREF CAD=2 IDE=4>partido</COREF> que históricamente ha violado constituciones a nivel mundial",
24,, @alfreyanez Corrijo. Que representa aún partido el cual en toda America Latina a modificado las constituciones para apagar la voz de quienes piensan y sientas diferente al partido comunista o revolucionario como dicen en otros paises,
24,," @PanayParga Me cuesta entender cómo es posible que la ciudadanía haya elegido <COREF CAD=1 IDE=1>personajes</COREF>  para dificultarse ellos mismos el camino, y los <COREF CAD=1 IDE=2>representantes</COREF>  no tienen la capacidad para darse cuenta que no tienen qué legislar ni para las mayorías ni para las minorías sino para Chile...",
24,," @ChCifuentes <COREF CAD=1 IDE=1>El diputado</COREF>  <COREF CAD=1 IDE=1>@Hugo_Gutierrez_ </COREF> más conocido como <COREF CAD=1 IDE=1>el ""Tatayaya""</COREF>  literalmente da ""jugo""",
24,, @Pancho_chile_c Chuuuuuu nos fuimos..... espero no tenga los votos.... no se cómo llega a estar ahí .....,
25, @biobio <COREF CAD=1 IDE=1>Evo Morales</COREF>: <COREF CAD=2 IDE=2>Chile</COREF> nos invadió y sometió al infierno más grande de la historia humana http://rbb.cl/jmqe ,,
25,, @JardineroRVD Cero conocimiento de la Guerra del Pacifico. Bolivia provoco la guerra e hizo un pacto secreto con su hermano gemelo Perú. Supéralo @evoespueblo,
25,,," @agomezloayza Y a decir verdad, los que combatieron de verdad fueron los peruanos. De Bolivia poco quedó después de la huida de topater"
25,,, @hefesto_uno Y pensar que enseñamos tan poco Sobre la Guerra del Pacífico a nuestros jovenes.
25,,," @hefesto_uno por último considerar los límites originales d chile antes d la Guerra,y cuanto ganamos en territorio a punta d esfuerzo y sangre"
25,, @PecoraKrauser Que alguien le diga a <COREF CAD=1 IDE=1>@evoespueblo</COREF> (se pasó por el * lo que pasa en Siria o los horrores de la IIGM),
25,," @josmarhiguera Así fue, despues de que Bolivia rompió un acuerdo comercial y un tratado de límites...",
25,, @Nanoazul61 Huevón torpe <COREF CAD=1 IDE=1>Uds</COREF> <COREF CAD=2 IDE=2>nos</COREF> declararon la guerra junto a Peru Y les sacamos la cresta Que parte de la historia no entiendes <COREF CAD=1 IDE=1>Evito</COREF>,
25,," @tassenior Metieron a Perú, y luego arrancaron ""los valientes "" ; <COREF CAD=2 IDE=1>chilenos</COREF> tomamos hasta Lima...",
25,, @Nanoazul61 Es enfermaste Este engendro de<COREF CAD=1 IDE=1>presidente</COREF> No tiene otro tema que <COREF CAD=2 IDE=2>Chile</COREF>,
25,, @ilustrador Pero no estaba hace un par de días Pidiendo Disculpas por los Ataques verbales?  Que personaje tan inconsistente este <COREF CAD=1 IDE=1>Evo Morales</COREF>,
25,, @katychely2 Eres bipolar <COREF CAD=1 IDE=1>Evo?</COREF> Hace un par de dias no estabas pidiendo disculpas al <COREF CAD=2 IDE=2>pueblo chileno!</COREF>,
25,, @luiz_lucho Si <COREF CAD=1 IDE=1>evo morales</COREF> hubiese sido pais limitrofe con rusia evo ya no existiria ni bolivia tampoco. Pero como estamos en <COREF CAD=2 IDE=2>chile</COREF> <COREF CAD=1 IDE=3>este</COREF> pelotudo incha las weas. No creo que exista pais en el mundo que aguante tantas provocaciones.,
25,, @malaonda2010 <COREF CAD=1 IDE=1>Este señor</COREF> le miente a su pueblo. Seguramente no le ha contado a su gente lo que pasó en Sebastopol ni todo el baño de sangre de la 2da guerra mundial. Pobre gente.,
25,," @dogfighters74 Si eso fuera cierto, Bolivia nunca debió cometer el desatino de desconocer los tratados y declarar unilateralmente la guerra a <COREF CAD=2 IDE=1>Chile</COREF> el 1° de Marzo de 1879.",
25,, @garco66 Y aún existen imbéciles que quieren darle mar.!!!!!! Dios nos libre de esta lacra.,
25,," @mcrcastiramos ""Al infierno más grande de la historia humana"" Ya <COREF CAD=1 IDE=1>@evoespueblo</COREF> le estas poniendo mucho. Ahora ponte a llorar.",
25,, @JoseEscobarCh Pucha que <COREF CAD=2 IDE=1>somos</COREF> malos jajajaja,
25,," @SenadorMalBoro <COREF CAD=2 IDE=1>Chile</COREF> debería indemnizar a <COREF CAD=1 IDE=2>@evoespueblo</COREF> Mírenle la cara a <COREF CAD=1 IDE=3>ese pobre hombre</COREF>, ni con toda la plata del narco tráfico a podido atenuar las visibles consecuencias de sus antepasados deformados hasta el ADN con las armas biológicas usadas en la guerra del Pacifico.",
25,, @aoarest <COREF CAD=1 IDE=1>Evo Morales</COREF> <COREF CAD=1 IDE=2>es </COREF>un Populista Provocador Quiere la Guerra.,
25,, @jucabi45  Que manera de hablar wuevadas <COREF CAD=1 IDE=1>este payaso</COREF>,
25,," @raulrjacob Ni una molécula de mar a Bolivia, viene a <COREF CAD=2 IDE=1>Chile</COREF> a victimizarse y a pedir disculpa ¿de que? No las necesitamos. Rastrero",
25,," @joannagonzalezb A dónde?? Declararon la guerra primero, después metieron a Perú y lo abandonaron como cobardes. Y ahora llorando en la Haya, no tiene dignidad <COREF CAD=1 IDE=1>Ego Morales.</COREF>",
25,," @Leo_Tuitero <COREF CAD=1 IDE=1>Evo</COREF> parece que no sabe que una de las razones de la guerra fue, que <COREF CAD=1 IDE=2>ellos</COREF> no cumplieron un tratado con <COREF CAD=2 IDE=3>Chile</COREF>... 🤔",
25,, @ngelGabrielPre1  <COREF CAD=1 IDE=1>Este caballero</COREF> lo único que quiere formar es hacer la 3ra guerra mundial esta puro hablando lo que hace <COREF CAD=2 IDE=2>chile</COREF> y <COREF CAD=1 IDE=3>su</COREF> país no tiene nada malo acaso ...????,
25,, @OscielB Que la rata esta ni estaba pidiendo disculpas y los comunistas le estaban chupando las patas?????,
25,," @S_Fardella <COREF CAD=2 IDE=1>Somos</COREF> terribles por tan cruel destino. Condenarlos a la miseria más grande de la historia de la humanidad. <COREF CAD=1 IDE=2>@evoespueblo</COREF>, deja de mentir y si vas a llorar, que sea en silencio.",
25,, @patoroberIV Podría haber sido peor..... pero tratado de 1904 les cayó de cielo a los Bolivianos.,
25,,"  @Sandru_k Si más recuerdo, fui Bolivia que le declaro la guerra <COREF CAD=2 IDE=1>Chile</COREF> y fueron <COREF CAD=1 IDE=2>ellos</COREF> los que perdieron su terreno.
En la Guerra solo puede haber un solo ganador, no ha si perdedores, muchas vidas perdidas por un pedazo de tierra.",
25,," @aleniveri Tan deslenguado que sea <COREF CAD=1 IDE=1>este weon</COREF>. Que mejor se preocupe de solucionar los problemas reales que tiene bolivia (analfabetismo, falta de educación, pobreza por todos lados, etc) eso sería mucho mejor qué andar sembrado ilusiones para ganar la aprobación de su ""pueblo boliviano""",
25,," @_TammyWonka El infierno más grande de la historia humana es como <COREF CAD=1 IDE=1>usted</COREF> tiene a Bolivia. En la miseria. Gente muriendo de hambre, durmiendo afuera de hospitales, terminales de buses, policías corruptos, por un par de monedas. <COREF CAD=1 IDE=2>@evoespueblo</COREF> Bájese de la nube <COREF CAD=1 IDE=3> sr morales!</COREF>",
26, @Emol <COREF CAD=1 IDE=1>Autoridad ambiental</COREF> <COREF CAD=2 IDE=2>cancela</COREF> <COREF CAD=3 IDE=3>mega proyecto inmobiliario</COREF> en <COREF CAD=4 IDE=4>Lo Curro</COREF> http://bit.ly/2tMQpVC ,,
26,, @GermnEVogelB Cuando la <COREF CAD=1 IDE=1>autoridad ambiental</COREF> con igual temperamento <COREF CAD=2 IDE=2>prohibirá</COREF> las fuentes de emisión de contaminantes en Concón? Su gente no importa?,
26,, @ValdiviaAPa Después que tienen casi todo listo <COREF CAD=3 IDE=1> lo</COREF> <COREF CAD=2 IDE=2>cancelan</COREF>. Muy difícil. Hay que hacer la pega antes que pasen estás cosas.,
27," @clarincom Entradera, 12 tiros y <COREF CAD=1 IDE=1>un ladrón</COREF> <COREF CAD=2 IDE=2>muerto</COREF> en una noche de terror para una familia ",,
27,," @SantiTombesi Ya con leer que <COREF CAD=1 IDE=1>el chorro</COREF> esta <COREF CAD=2 IDE=2>muerto</COREF>, me deja tranquilo",
27,, @gdm_el Marche otra fosa común,
27,, @martinvitima <COREF CAD=1 IDE=1>Uno</COREF> <COREF CAD=2 IDE=2>menos</COREF> buenísimo,
27,," @dan_asco_ Apuesto que <COREF CAD=1 IDE=1> era </COREF> estudiante de diseño grafico, SINO PAQUE....",
28, @biobio Al menos <COREF CAD=1 IDE=1>7 sujetos</COREF> habrían ingresado a un local de <COREF CAD=2 IDE=2>librería Giorgio</COREF> en #Temuco <COREF CAD=3 IDE=3>robando</COREF> cerca de 5 millones de pesos. <COREF CAD=1 IDE=4>Uno </COREF><COREF CAD=1 IDE=5>estaba</COREF> armado.,,
28,, @locachiri Al menos <COREF CAD=1 IDE=1>serán</COREF><COREF CAD=1 IDE=2>delincuentes</COREF> instruidos con tanta lectura,
29," @Tele13_Radio 8 de septiembre del 2017. Subcentro de Escuela Militar. Lesiones a 24 personas. Hoy se conoció la <COREF CAD=1 IDE=1>condena</COREF> en <COREF CAD=2 IDE=2>este caso</COREF>: 23 años de <COREF CAD=3 IDE=3>presidio</COREF>, que debe cumplir <COREF CAD=4 IDE=4>Juan Flores</COREF> de manera efectiva. ",,
29,," @juliogamboab Lamentable, la tipificación de <COREF CAD=2 IDE=1>este delito</COREF>, según el decreto 321 y 2442, no es delito calificado, Por tanto <COREF CAD=4 IDE=2>el delincuente</COREF> postulará a libertad Condicional una vez cumplido 10 años, y si la dieran se fija en 20, absurdo Periodistas a consultar @HernanLarrainF @juanjoseossasc",
29,," @viedro11 Ya es hora que se empiecen a hacer bien las cosas en nuestro país. El terrorismo, la delincuencia, deben pagar y no ser disfrazados ni culpar a la sociedad de su maldad. <COREF CAD=4 IDE=1>El malo</COREF> <COREF CAD=3 IDE=2>entre rejas</COREF> y los buenos libres, así debe ser!!",
29,, @TutuGC Otro despedido mas !! afirmence el resto.,
29,, @Jpalmaperan Pobre <COREF CAD=4 IDE=1>JOVEN</COREF>..POR UN ACTO QUE DURO 3 SEG..PAGA 23 AÑOS..QUE INTELIGENCIA DE LA JUVENTUD.A VER SI AMIGOS LE LLEVARAN COMIDITA Y SE OCUPARAN DE <COREF CAD=4 IDE=2>ÉL</COREF>. ..,
29,, @adpsd Y qué ganó <COREF CAD=4 IDE=1>este</COREF> estúpido haciendo tanto daño!!,
29,,  @gvaldescaris Cuando las pruebas y las investigaciones son contundentes... La discusión acerca de la aplicabilidad de la #LeyAntiterrorista queda en el suelo,
29,, @AFPerezP  <COREF CAD=4 IDE=1>Juan Flores</COREF> defendido por recursos de todos los Chilenos. No muestra ni el más mínimo arrepentimiento.,
30," @T13 El regreso de <COREF CAD=1 IDE=1>la primera dama</COREF>, T13 compartió con <COREF CAD=1 IDE=2>Cecilia Morel</COREF> en <COREF CAD=1 IDE=3>su </COREF> <COREF CAD=2 IDE=4>primera actividad.</COREF> ",,
30,, @queleovina <COREF CAD=1 IDE=1>La amo</COREF> ,
30,, @VctorVa60 Salud!!!,
30,," @crismendezf <COREF CAD=1 IDE=1>@ceciliamorel</COREF>  <COREF CAD=1 IDE=2>Primera Dama</COREF> , con todo respeto: el verbo ""relevar"" fue mal ocupado. De todas formas muy buena la nota.",
30,," @juanervs Se ve a <COREF CAD=1 IDE=1> ella</COREF> una abnegada <COREF CAD=1 IDE=2>esposa</COREF>. Como no recordar ""no lo muestre"" Sin duda el cable a tierra del Presi. @sebastianpinera",
30,, @Alartiz La infaltable nota cornetera a la derecha. Clásico de @T13,
30,, @Francis901121 Cómo marca la diferencia entre una <COREF CAD=1 IDE=1>dama</COREF> y el resto. Bien <COREF CAD=1 IDE=2>Cecilia</COREF>!,
30,, @_He_Wolf Me encanta <COREF CAD=1 IDE=1>ella</COREF> ,
30,," @ItaloRulli Pincheira fue pillado leyendo el condorito, por el trece",
30,, @Tuerto_Con_Pena En reportajes chupapicos de la semana ....,
31," @T13  <COREF CAD=1 IDE=1>23 años de cárcel</COREF> por  <COREF CAD=2 IDE=2> atentados</COREF> en  <COREF CAD=3 IDE=3>Metro</COREF>,",,
31,, @berniechile El malo va a salir mas malo a los 45 años,
31,, @csar_vasquezz O con suerte muere en el óvalo,
31,, @AFPerezP Bien baja <COREF CAD=1 IDE=1>la pena</COREF>. Lamentablemente un delincuente defendido con recursos de todos los Chilenos.,
31,," @Xime_Cantin Teniendo en cuenta que la mayoría de los afectados tendrá secuelas por el resto de sus vidas y que, probablemente, los condenados saldrán antes de terminar su <COREF CAD=1 IDE=1> condena</COREF>, es realmente un regalo para ellos.",
32, @congresofuturo <COREF CAD=1 IDE=1>Científicos</COREF> y <COREF CAD=1 IDE=2>activistas</COREF> de todo el mundo se reunirán en <COREF CAD=2 IDE=3>Chile </COREF> en <COREF CAD=3 IDE=4>@congresofuturo</COREF> Estos son <COREF CAD=1 IDE=5>los personajes</COREF> más importantes que visitarán la VII versión del <COREF CAD=3 IDE=6>evento</COREF>. #FUTURO360,,
32,, @pablotrivinho Me gustaría puedan cubrir <COREF CAD=3 IDE=1>este evento</COREF>. El año pasado hubo muy poca información en televisión abierta y el nivel de los <COREF CAD=1 IDE=2>expositores</COREF> da para hablar de <COREF CAD=1 IDE=3>ellos</COREF> todo un año.,
32,, @EDUARDOORREGO5 @TvnRedAtacama @GOREAtacama UNA VEZ MÁS ATACAMA FUERA DE LUGAR,
32,, @irojov y <COREF CAD=1 IDE=1>estos gallos</COREF> con su visita no generan ninguna incomodidad ni gastos y además aportan mientras para otros que nada aportan PARAN EL PAIS...por favor en que estamos pensando NO a las ideologías vengan de donde vengan,
33, @biobio <COREF CAD=1 IDE=1>Senadores</COREF> <COREF CAD=2 IDE=2>opositores</COREF> presentan <COREF CAD=3 IDE=3>moción</COREF> para reimpulsar la <COREF CAD=4 IDE=4>reducción del límite de velocidad</COREF>,,
33,, @ma_murphy Son bien CDR andan a más de 140 km/h en las rutas y más encima cuando <COREF CAD=1 IDE=1>los</COREF> detienen x ir a exceso de velocidad le echan la culpa a la autoridad y se dan el lujo de insultar sin contar q atropellan a carabineros y no les pasa ni x curados,
33,," @Alvaro_RvR Pesima <COREF CAD=3 IDE=1>idea</COREF>, ojala fracase",
33,, @tu_escudero Osea a toda costa quieren que la weaita ande <COREF CAD=5 IDE=1>mas lenta</COREF>...,
33,," @RobertbajoG <COREF CAD=4 IDE=1>Reducir la velocidad</COREF> no es la solución a los accidentes ,lo que hay que hacer es educar a los niños y jóvenes en los colegios por televisión,<COREF CAD=1 IDE=2>señores onorables</COREF> ,piensen ,piensen y no hagan leyes a destajo que no llevan a niun lado ,y si no conocen el tema informense",
33,," @alextan63 <COREF CAD=1 IDE=1>ELLOS </COREF>, <COREF CAD=1 IDE=2>LOS</COREF> QUE CONSTANTEMENTE VIAJAN A EXCESO DE VELOCIDAD A VALPARAISO? CON QUE CARA",
33,, @SenorTao Deberían establecer zona perimetral en lugares muy congestionados en donde se cobre más la circulación.,
34, @biobio <COREF CAD=1 IDE=1>Arresto domiciliario</COREF> a <COREF CAD=2 IDE=2>hombre</COREF> que <COREF CAD=3 IDE=3>atropelló</COREF> a <COREF CAD=4 IDE=4>embarazada</COREF> en Villarrica: <COREF CAD=4 IDE=5>mujer</COREF><COREF CAD=5 IDE=6> falleció </COREF>,,
34,," @TutuGC Realmente en chile "" si quieres matar a alguien atropellalo, seguro no iras a la cárcel "" se lo escuche al hermano de un joven atropellado.",
34,, @Bieclo @mjossandon @joseantoniokast @sebastianpinera aca otro <COREF CAD=5 IDE=1>muerto en <COREF CAD=3 IDE=2>accidente de transito... les propongo bajar la velocidad maxima @ElZiudadano @Buguenojpg @agoucha @Bicicletudos,
34,,," @ElZiudadano Osea antes era 50, la subieron a 60 y con ello aumentaron las <COREF CAD=5 IDE=1>muertes</COREF> en mas de un 10%, ni @Carabdechile estaba de acuerdo con aumentar la velocidad. Ya pues.... si son Provida!!!"
34,," @Xnonim puta que sale barato <COREF CAD=5 IDE=1> matar</COREF> a alguien wm, tengo varios en lista jajaja",
34,, @Yayablockizq1 Esta wea es broma,
35," @danivega Muchas gracias! <COREF CAD=1 IDE=1>@HelenHunt0</COREF> Ir a ver @Slelio es <COREF CAD=2 IDE=2>@AFantasticWoman</COREF> increíble. 
<COREF CAD=3 IDE=3>#danivega</COREF> <COREF CAD=3 IDE=4>es</COREF> espectacular Bravissima!!!! ",,
35,," @IgnaciaPuente Dejen se hacerse las victimas, el pueblo no se puede hacer cargo por sus preferencias sexuales. En el país hay cosas mucho más importantes que un grupo de gente caprichosa que gasta dinero en su cuerpo en vez de invertirlo en estudiar. Quieren todo gratis!",
35,, @EGofoy Felicidades <COREF CAD=3 IDE=3>Daniela </COREF>,
35,," @silviasosaflei Me encantó <COREF CAD=2 IDE=1>la película</COREF>, felicitaciones y saludos desde Uruguay",
35,, @PavonGertosio La </COREF> felicito por el triunfo con la película</COREF> mujer fantástica</COREF> un abrazo.,
35,, @Fransfinecastro <COREF CAD=3 IDE=1>Eres</COREF> una embajadora de Chile sentí mucho orgullo felicitaciones! mucho éxito para ti y el cine chileno.,
35,, @MiaandreaShutts Congrats <COREF CAD=3 IDE=1Ms. Vega!</COREF>,
35,, @Carolinapilsen1 Felicitaciones. Gracias por mostrar la realidad que en CHILE quiere tapar el sol con un dedo,
35,," @Rosacabrera1516 Se puede ACTUAR d mujer, cuando se es hombre, ello no significa SERLO",
35,, @pelomilcolores Hola <COREF CAD=3 IDE=1>Daniela</COREF>. Soy periodista de Colombia del programa radial @losoriginales quisiéramos hablar <COREF CAD=3 IDE=2>contigo</COREF> sobre tu experiencia en <COREF CAD=2 IDE=3>la película</COREF> <COREF CAD=2 IDE=4>A Fantastic Woman</COREF> ¿Podríamos contactarte? DM,
35,,"  @kuerbo_reload Quizas yo no sea famosa pero amo el cine en especial el q califican de cina arte y, debo decir que cuando sali del normandie, solo pude comparar la sensacion con blue de kiewslowsky...ahi me enamore de la binoche y desde ese entonces q no me conmovia tanto una peli...<3",
35,, @sepuedesobrevi Que orgullo un gran abrazo de osita desde mi norte amado,
35,," @lcerasa Éxito muy merecido @danivega , excelente interpretación!",
35,," @ivotronic Colega, El monito del corazón se le junto Al nombre de la Hunt y no funcionó El enlace a su cuenta. Saludos!!!!!",
35,," @vivilylet Bravooooo! Quiero ver <COREF CAD=2 IDE=1>la peli</COREF> y verte <COREF CAD=3 IDE=2>a ti</COREF>. Soy mamá de hijos ""normales"", sin embargo muy consciente de la problemática de ser Trans. Te apoyo mucho! <COREF CAD=3 IDE=3>Eres</COREF> una bella MUJER!",
36," <COREF CAD=1 IDE=1>@danivega</COREF>Mi chiquillada de la <COREF CAD=2 IDE=2>quinta región costa</COREF>, me voy este fin d semana para allá!!!! 🐠vamos a proyectar<COREF CAD=3 IDE=3>#UnaMujerFantastica</COREF> en <COREF CAD=2 IDE=4>Valparaiso</COREF> a propósito del #DiaDelCine y en San Antonio invita el festival de #cinelitoral😍 +ratito les doy las coordenadas.actividades con conversatorio💕",,
36,, @jessa_pernia Aahh y aproveche y pase por la Ligua que esta cerquita,
36,, @MansaBruja <COREF CAD=1 IDE=1>tus</COREF> caras en <COREF CAD=3 IDE=2>la película me recordaron mucho a Alex Delarge,
36,," @paolamacarena Ame la palabra ""chiquillada"" tan querendona.",
36,, @JorgeFuenzali19 Excelente <COREF CAD=1 IDE=1>Daniela</COREF> bien hecho un gran apoyo y felicidades .,
36,, @lisetteavila80 Gracias por mostrar lo subdesarrollado que somos como país frente a la diversidad de género. Que esto nos sirva para ser cada vez más consciente del otro.,
36,," @Solonia59  <COREF CAD=3 IDE=1>Vi la película</COREF>, vivo en <COREF CAD=2 IDE=2>la quinta región costa</COREF> y fue potente. Confirmó mi visión de la vida: ""No está muerto quien ha dejado de existir, sino quien, existiendo, ha dejado de vivir. """,
36,," @LauraBarriosHer ¡Genial, <COREF CAD=1 IDE=1>Dani!</COREF> Espero verte en <COREF CAD=2 IDE=2>Valparaíso</COREF>. ¡Un abrazo ENORME!",
36,," @pitijaramillo Muchas felicidades <COREF CAD=1 IDE=1>Daniela</COREF> por la nominación a premios Oscar, te lo mereces!!",
36,, @franfredeso <COREF CAD=1 IDE=1>Daniela</COREF> me encantas eres seca!!!!! La mejor actriz,
36,, @Rivka_Azatl Hay algún sitio donde se pueda comprar en línea <COREF CAD=3 IDE=1>la película </COREF>?,
36,, @MALVARADOF Felicidades por los premios,
37," @PiensaPrensa  <COREF CAD=1 IDE=1>Mujer</COREF> <COREF CAD=2 IDE=2>#Mapuche</COREF> es <COREF CAD=3 IDE=3>detenida</COREF> con una menor de edad, solo por <COREF CAD=4 IDE=4>transitar</COREF> por calle Merced.",,
37,, @IngalBrown Podría aclarar la situación !!!,
37,,, @PiensaPrensa SI CLARO...VER NUESTROS TW ANTERIORES...SALUDOS
37,," @Anonymiss_CL Pacos maricones, se vende pasta base en todas las poblaciones de Chile pero los perlas andan pégandole a las <COREF CAD=1 IDE=1>mujeres</COREF>, entre 5 o 6, cobardes!",
37,, @MichaelTabilo Comenzó la casería contra <COREF CAD=2 IDE=1>los</COREF> <COREF CAD=2 IDE=2>mapuches</COREF>??,
37,," @VilmaGracia3 Tdo uniformado,n l mundo,esta contra la humanidad,y a favor d poderosos diablos, dragones, reptiles!Elites q odian <COREF CAD=1 IDE=1>mujers</COREF>,<COREF CAD=2 IDE=2>etnias</COREF>,pobres etc!",
37,, @Patrici29009626 Y los pacos q se robaron la plata y los q inventaron el fraude en la araucania...donde estan?...bien gracias,
37,," @Musicgirl1981 Nadie te cree esa wea , <COREF CAD=2 IDE=1>los mapuches son super agresivos, asi que no te creo deseguro los provocaron. Dejen de mentir mejor y sean reales.",
37,,," @Patrici29009626 Si claro,<COREF CAD=2 IDE=1>los mapuches</COREF> son agresivos....q yo sepa no tienen ningun detenido desaparecido en sus espaldas @chiogarcia"
37,," @AntivilMarita Es la violencia que a diario viven <COREF CAD=2 IDE=1>comunidades</COREF> en nuestro wallmapu niños, <COREF CAD=1 IDE=2>mujeres</COREF> y ancianos violentados por defender su tierra",
37,,," @Luana84473134 Se vende que <COREF CAD=2 IDE=1>son</COREF> agresivos, para justificar las represión constante para sacarle <COREF CAD=2 IDE=2>sus</COREF> tierras. Ningún gobierno respeto <COREF CAD=2 IDE=3>sus</COREF> derechos."
37,, @cotyhitschfeld Inaceptable,
37,, @teresahortal7 ¡Tanto despliegue de fuerza por <COREF CAD=1 IDE=1una mujer!</COREF> que estúpida exageración.,
37,, @Guillerioseco Hay que llamar a Almagro a la OEA,
37,," @edugarcia24 Eso no fue así, iban caminando tirando agua y agrediendo a manotazos a carabineros y obviamente la tandalada de insultos eso vi",
37,,, @floresnatalie qué raro igual
37,,, @edugarcia24 De verdad que iba pasando por ahí era un grupo no menor de mujeres algunas con niños y obvio que las detuvieron si iban gritando
37,,, @floresnatalie Gritando contra los pacos ? 
37,,, @Franciscamix No justifica.
37,,," @floresnatalie Y que tiene que ver Corea del Norte , q paja ese argumento "
37,,," @RobeNacho Por qué? Por obedencer las ordenes de los que los mandaron a detener a la mujer? Si quieres pitearte a alguien que sea a los altos cargos ellos son los que mandan a los pacos a hacer todo lo que ves, mientras ellos se quedan tranquilos en sus oficinas..."
37,," @admorca2 La maldicion de malinche, que nos han impuesto y que algunos acatan...",
37,, @SurenoBasket La informacion es subjetiva falta informacion está cargada para un lado,
37,, @baraudawaguchu Porque ese odio y desprecio al <COREF CAD=2 IDE=1>pueblo Mapuche?</COREF> Ahora no pueden ni transitar ciertas calles en Chile.<COREF CAD=2 IDE=2> Pueblo originario</COREF> antes de la República,
37,,, @andrea_millers A nadie se le detiene por nada
37,, @SSaffieA Huyy que malos los carabineros. Pobre mujer inocente . Caminaba tranquilamente.......,
37,,"@danivega no lo creo , noticia falsa porfavor sean mas serios",
37,," @Roberto44031930 De nuevo!! Los dueños de Chile,los Pacos!! Hacen lo que quieren sin ningún contrapeso!!y...cuando renuncia el general de juguete!!",
38, @adnradiochile <COREF CAD=1 IDE=1>Chilenos</COREF> que <COREF CAD=2 IDE=2>apoyan</COREF> <COREF CAD=3 IDE=3>demanda marítima</COREF> de <COREF CAD=4 IDE=4>Bolivia</COREF> proponen que <COREF CAD=5 IDE=5>el país</COREF> se <COREF CAD=6 IDE=6>divida</COREF> en dos como Croacia ►http://bit.ly/2GaiQ1q ,,
38,, @ValdiviaAPa Deben ser los parientes de Florcita motuda. Eso pasa sólo por falta de educación y opinan sin saber.🤔,
